,AAPLCHG,AAPLCLS,MSFTCHG,MSFTCLS,GOOGCHG,GOOGCLS,FBCHG,FBCLS,INTCCHG,INTCCLS,TSMCHG,TSMCLS,CSCOCHG,CSCOCLS,ORCLCHG,ORCLCLS,NVDACHG,NVDACLS,SAPCHG,SAPCLS,IBMCHG,IBMCLS,ADBECHG,ADBECLS,TXNCHG,TXNCLS,AVGOCHG,AVGOCLS,CRMCHG,CRMCLS,QCOMCHG,QCOMCLS,MUCHG,MUCLS,BIDUCHG,BIDUCLS,ADPCHG,ADPCLS,VMWCHG,VMWCLS,ATVICHG,ATVICLS,AMATCHG,AMATCLS,INTUCHG,INTUCLS,CTSHCHG,CTSHCLS,EACHG,EACLS,NXPICHG,NXPICLS,INFYCHG,INFYCLS,ADICHG,ADICLS,NOKCHG,NOKCLS
32,-0.0014619994596314356,73.7491,-0.010425920718528658,33.1474,0.005964213689222397,533.09,0.04842364828458168,51.83,0.0020464480111264116,21.2781,-0.02081071659516054,14.9985,-0.017875757597077158,17.4646,-0.028169542564952188,31.225,-0.01966369029761328,14.3819,-0.006038313228803105,76.1816,-0.010500072997573717,147.2707,-0.011967371032338914,53.99,-0.009151618112914761,37.5804,-0.007838346524994932,41.8851,-0.008788260838855422,50.98,-0.003842874413332531,62.3593,0.0017761994012559512,22.54,-0.010094649740430839,171.5,-0.003622366202909788,69.1663,0.007680708072000719,86.26,-0.020789853771799205,16.1752,-0.006559551234110117,15.4989,-0.004033867222624998,70.3857,-0.0027853839761258214,45.9619,-0.005231878759333064,20.97,0.005707108591937349,42.0675,-0.007576304002159695,5.9171,-0.011573049280793946,42.6794,-0.002601730665657165,6.2953
33,-0.010960317443776013,72.9452,-0.014341780973008422,32.6754,-0.012154074163511552,526.65,0.028342363108893043,53.32,-0.0073821612285929206,21.1216,-0.002336293700016867,14.9635,-0.013251181670812517,17.2347,-0.011071471506473252,30.8812,-0.005969708992438871,14.2963,0.0024686757669458714,76.3699,-0.0032932398024128062,146.7865,0.12027011339028748,60.89,-0.011142087109159426,37.164,-0.002189330045861748,41.7935,0.002938010143938463,51.13,-0.0020643718704631553,62.2307,0.02367493302826862,23.08,-0.001517185329249493,171.24,-0.0016872146156794443,69.0497,-0.007447090502896714,85.62,0.006580998080832234,16.282,-0.0011943460439152176,15.4804,0.010586551012365497,71.1348,0.00321271633331488,46.1098,0.05789993929765558,22.22,0.007792699274917769,42.3966,0.009051205803089157,5.9709,0.006215501721444916,42.9455,-0.022294888980500804,6.1565
34,0.00552176026320339,73.3491,0.005301846084620365,32.8491,-0.012745841985203121,519.98,0.009147828190820384,53.81,0.00656408450943724,21.2607,0.0017560673954859496,14.9898,0.02150237819914036,17.6093,0.009282843240505212,31.1692,0.0013281328407286352,14.3153,0.01517305081449205,77.5375,0.02880519519190461,151.0762,-0.04004220338267217,58.5,0.008071951338720407,37.4652,0.09301816041469246,45.8676,0.0005865676187339908,51.16,0.002888287922521826,62.4107,-0.01352256156425069,22.77,-0.013108196506609104,169.01,0.0064066878490454116,69.4935,0.010109899601620675,86.49,-0.0017950015269971864,16.2528,-0.0027038407106174667,15.4386,-0.0020686372529210573,70.9878,0.008304215679235227,46.4943,-0.007226770386127512,22.06,0.007732442374263293,42.7257,0.023454544774221375,6.1126,0.006794806600136205,43.2383,-0.010663327604693462,6.0912
35,-0.004511922826969439,73.0189,-0.009946068949442388,32.524,0.0012492674191788566,520.63,0.01932516200812895,54.86,0.008351395269999173,21.439,-0.0017560673954859496,14.9635,0.011540652604679735,17.8137,0.0026817441310837964,31.2529,0.004641576151710236,14.3819,-0.00914958108906827,76.8313,-0.011820612632452487,149.3009,-0.01428964661048937,57.67,0.003306933310979865,37.5893,0.06678146144318342,49.0353,0.020507586560341018,52.22,0.0017849586394609318,62.5222,0.006566011770890778,22.92,-0.0040315463391458195,168.33,-0.003424883022924874,69.2559,0.0026557373729154676,86.72,0.018936277657503275,16.5635,0.008674199952501738,15.5731,-0.002339756387389258,70.8219,-0.0011685676048376337,46.44,0.030799131571602967,22.75,0.014139241221012178,43.3341,0.0037719564981639753,6.1357,0.004094450292784657,43.4157,-0.013486916054343823,6.0096
36,-0.0076325649295583275,72.4637,0.0016435876913325487,32.5775,0.015684129832152394,528.86,0.012859001782372204,55.57,0.01987670614628989,21.8694,-0.004695740603249732,14.8934,0.003815611638536609,17.8818,0.028434017919384935,32.1543,0.013803704230208158,14.5818,0.008541948508749897,77.4904,0.01658893329458433,151.7983,0.023478072664895322,59.04,0.01566571700538466,38.1828,-0.003006433822232868,48.8881,0.02159583833638523,53.36,0.003558793639721891,62.7451,-0.04964131163300145,21.81,0.018598617437064924,171.49,0.02353966458311252,70.9055,0.0094112940714135,87.54,0.007008917648308355,16.68,0.013597408423648094,15.7863,0.01488404263527876,71.8839,0.02484595895494568,47.6083,0.004823512969704957,22.86,0.0016094448815278106,43.4039,0.005882561082624971,6.1719,0.01701865535368352,44.1609,0.04644513263953809,6.2953
37,-0.011522905177323572,71.6335,-0.009062504689964168,32.2836,0.0017192035444635323,529.77,-0.009401624123140273,55.05,-0.0003978952764698285,21.8607,0.002936584009431087,14.9372,0.003327455670667945,17.9414,0.05619367462628233,34.0129,0.003908193347773814,14.6389,0.015313732900723132,78.6862,0.008469398520291271,153.0894,-0.015533298578957577,58.13,-0.014960977537003206,37.6158,-0.03270030265817292,47.3153,-0.005449604767564509,53.07,-0.010300682520700377,62.1021,-0.008749768002475289,21.62,-0.006435028640908058,170.39,0.004227675576014889,71.2059,-0.002172795182683984,87.35,0.0275603455730411,17.1461,-0.008850488045382576,15.6472,-0.0015843627578080444,71.7701,0.004545581446161684,47.8252,0.024201699802906873,23.42,-0.009695754803556778,42.9851,0.006202471791122877,6.2103,-0.0024145483094573095,44.0544,0.002601730665657165,6.3117
38,0.008339701167497715,72.2334,0.015057849414766622,32.7734,0.017161297365454686,538.94,0.001270763536713737,55.12,-0.003386222377663284,21.7868,-0.003527624392007045,14.8846,0.002844112909845986,17.9925,-0.006302730852611127,33.7992,0.019636657628061993,14.9292,0.007510531260436437,79.2794,-0.0011097713951357946,152.9196,0.019252660432159452,59.26,0.008911202927585293,37.9525,0.004072827087051145,47.5084,0.012173574815232957,53.72,0.006604328278118743,62.5136,0.02512121141715795,22.17,0.017280430000956137,173.36,0.00683835600231486,71.6945,0.031884636412872425,90.18,0.011816000183855646,17.3499,0.018200858336288483,15.9346,-0.005432024500253263,71.3813,0.011682618705415315,48.3872,0.005110743662559258,23.54,0.009695754803556778,43.4039,0.007923056683683649,6.2597,0.007023382369196529,44.3649,0.010292713436187428,6.377
39,0.037658901372175535,75.0055,-0.00490316261453394,32.6131,0.0112916328881143,545.06,0.046956983087770965,57.77,0.010519684263547546,22.0172,0.008789177868173237,15.016,0.020611460781861712,18.3672,0.015279485970373319,34.3196,0.006043646041367978,15.0197,0.007572223910437437,79.882,0.01220164203731855,154.7969,0.003537441573083555,59.47,0.01206577270045317,38.4132,0.007906207091131101,47.8855,0.01588214362515572,54.58,-0.0009602520439031537,62.4536,-0.031152312973801166,21.49,-0.006133213694219819,172.3,-0.0003752735250905914,71.6676,-0.01429553047307941,88.9,0.015550029243083685,17.6218,0.018442470369243402,16.2312,0.013721373299919293,72.3675,0.00487780703463514,48.6238,0.013502314837639418,23.86,0.03787829889680072,45.0795,-0.0020949449143390364,6.2466,0.012122799854325628,44.906,-0.002559333144497966,6.3607
40,-0.004254057717933968,74.6871,0.0124811556269937,33.0227,0.013919478492505633,552.7,0.0032835076593071832,57.96,0.004337182558793007,22.1129,0.0029126427868737537,15.0598,0.00554884339082129,18.4694,0.010504200836170874,34.682,0.0025268154972519774,15.0577,0.003646232417573003,80.1738,0.005417577717379274,155.6378,0.0010084034467965353,59.53,0.0016127273668828934,38.4752,0.010699465737694425,48.4006,0.004022678673777591,54.8,0.002742275183134524,62.6251,0.015239269750505713,21.82,-0.021838592838458126,168.578,0.003496161269918474,71.9186,0.006055866886930161,89.44,0.001100303545202852,17.6412,-0.0068745788682202935,16.12,0.001309123033229831,72.4623,0.0020257603012496794,48.7224,-0.0012581255591190832,23.83,-0.002658840540021412,44.9598,0.004727386067890249,6.2762,0.00019817214098560854,44.9149,0.005112132820616289,6.3933
41,-0.006663189575369266,74.1911,0.009664647952974725,33.3434,0.023690376239211552,565.95,-0.003976148379639,57.73,0.01056225884846107,22.3477,-0.0005778638461220176,15.0511,0.005055043654580871,18.563,0.009866967448056041,35.0259,-0.009522070298217056,14.915,0.006555427706020467,80.7011,0.011558651132904885,157.4472,0.0008395601198376568,59.58,0.0036761265960243428,38.6169,0.0018989986427841998,48.4926,0.0009119927672696093,54.85,0.006005077451500362,63.0023,-0.003673098711861389,21.74,-0.007729495575047096,167.28,0.006584355130439867,72.3937,-0.006618454806128327,88.85,-0.004966624785369689,17.5538,0.002868091527269634,16.1663,-0.0009167586598541888,72.3959,0.006050734386769729,49.0181,-0.006736867584758333,23.67,0.0004425197010151649,44.9797,0.005941335051643737,6.3136,0.0021706407239987513,45.0125,0.0076350522038226565,6.4423
