Date,AAPLCHG,AAPLCLS,MSFTCHG,MSFTCLS,GOOGCHG,GOOGCLS,FBCHG,FBCLS,INTCCHG,INTCCLS,TSMCHG,TSMCLS,CSCOCHG,CSCOCLS,ORCLCHG,ORCLCLS,NVDACHG,NVDACLS,SAPCHG,SAPCLS,IBMCHG,IBMCLS,ADBECHG,ADBECLS,TXNCHG,TXNCLS,AVGOCHG,AVGOCLS,CRMCHG,CRMCLS,QCOMCHG,QCOMCLS,MUCHG,MUCLS,BIDUCHG,BIDUCLS,ADPCHG,ADPCLS,VMWCHG,VMWCLS,ATVICHG,ATVICLS,AMATCHG,AMATCLS,INTUCHG,INTUCLS,CTSHCHG,CTSHCLS,EACHG,EACLS,NXPICHG,NXPICLS,INFYCHG,INFYCLS,HPQCHG,HPQCLS,ADICHG,ADICLS,NOKCHG,NOKCLS,MSFTslope_sum,GOOGslope_sum,FBslope_sum,INTCslope_sum,TSMslope_sum,CSCOslope_sum,ORCLslope_sum,NVDAslope_sum,SAPslope_sum,IBMslope_sum,ADBEslope_sum,TXNslope_sum,AVGOslope_sum,CRMslope_sum,QCOMslope_sum,MUslope_sum,BIDUslope_sum,ADPslope_sum,VMWslope_sum,ATVIslope_sum,AMATslope_sum,INTUslope_sum,CTSHslope_sum,EAslope_sum,NXPIslope_sum,INFYslope_sum,HPQslope_sum,ADIslope_sum
2015-10-05,0.0036172945936030487,110.78,0.02299450554443805,46.63,0.02295942790843153,641.47,0.02085200229070505,94.01,0.02268405755410985,31.21,0.030362863730117873,21.4,0.04144291971872072,26.85,0.018797545967502494,37.59,0.0246926125903717,25.42,0.013135238298697338,66.67,0.030381738721182217,149.04,0.02178735418490696,85.84,0.02750426155345087,50.13,-0.017256613054757786,121.22,0.01796294947743249,75.27,0.02084531902972042,56.23,0.09924505984931065,17.57,0.007446450401404903,149.62,0.016335850289340925,82.7,-0.002763820854810639,79.49,0.01608106544161858,31.97,0.010652564116207408,15.1,0.02002168534743909,91.31,0.02866686408997765,65.11,0.01640848269789874,67.59,-0.006776518512946694,85.3,0.0287001175188748,19.44,0.04170062901468974,12.3399,0.03076621727462836,57.43,0.002890175422233243,6.93,0.01941228858684152,0.0020723479817199575,-0.003939480881131274,-0.005846750912603227,-0.00340124981259482,0.03372542973982107,-0.028540440374087428,0.017452440914543565,-0.02880387471415924,0.025840884958760135,-0.014311291904819168,0.05047778197675257,-0.07998043714039893,0.03233719297990234,-0.07551737126730229,0.17019835026749597,-0.10068800933584177,0.027989071032087587,-0.037944557440580784,0.024273387621840392,-0.014797622556642853,0.000723942488693119,0.02090356013461747,0.010926619818766525,-0.05866163724266693,0.02247612453600656,0.023934923235876315,0.01694163011233374
2015-10-06,0.004772848900176818,111.31,0.00257014491446661,46.75,0.006169837197298911,645.44,-0.012954519798304531,92.8,0.01683915881557496,31.74,-0.007975646312640805,21.23,0.01405348573079479,27.23,0.0037174764001326466,37.73,0.012898361348436804,25.75,0.009702292692636227,67.32,-0.001746021530137476,148.78,-0.008070691213745818,85.15,0.00656131193749987,50.46,-0.03449341246909299,117.11,-0.011356926127964684,74.42,0.0015992895456760081,56.32,0.03632698963280623,18.22,0.00120232463886083,149.8,-0.003148846007387185,82.44,0.022268756245150456,81.28,-0.0018785227815980576,31.91,0.009228806437621362,15.24,-0.005490898926511889,90.81,-0.001998617007816783,64.98,-0.015506498271141922,66.55,-0.006704724287260433,84.73,-0.022893819865852816,19.0,0.02972424755947145,12.7122,-0.009447236113649282,56.89,0.00718910357246938,6.98,-0.005802396268542509,0.022724049278435743,-0.048918035609482935,0.05460848374209526,-0.04684393717165136,0.03236514137409774,-0.0195168942789663,0.012376953604104735,0.008252245566973127,-0.005123644539165362,-0.02095667283485403,0.055686727557838545,-0.06419121074772116,0.010180270667487612,-0.021771484413489528,0.06985236508107562,-0.030773494347697383,-0.029768772898785656,0.049564881279286155,-0.03525460824596793,0.02582703458335267,-0.018211987282828357,0.017000163182020245,-0.022309655247206628,0.024990869562473872,-0.06880716300391665,0.091789551098445,-0.055807823359239395
2015-10-07,-0.004772848900176818,110.78,0.001068947188905156,46.8,-0.004783360572556461,642.36,-0.004319661144516651,92.4,0.01795380361659582,32.315,0.03244028671463184,21.93,0.011320186614840466,27.54,-0.001857010747213117,37.66,0.0104308459746143,26.02,0.00103926963552059,67.39,0.008766409405027709,150.09,-0.054295602537479226,80.65,0.011428695823622714,51.04,0.01298003377563095,118.64,0.007763390617833821,75.0,0.005135936198781721,56.61,0.02171638001710896,18.62,-0.034154794917167663,144.77,0.014570671410575109,83.65,0.009916222530002905,82.09,0.0009397024967143786,31.94,0.00979439759228784,15.39,0.001650437740543964,90.96,0.015423685154376088,65.99,-0.006633523495634286,66.11,0.002475394674751996,84.94,0.0005261773338975928,19.01,0.0003539280147371038,12.7167,0.017079536823191077,57.87,0.008559253395669764,7.04,0.011694103850543591,-0.006316007189501427,-0.02180976533307266,0.007786981663076453,0.03560658319782739,-0.00794290273773779,-0.025465054083881,0.021679433060921127,-0.01711871610860083,0.07078915171201405,-0.12878631030360888,0.0641729604090937,0.0067679811098053655,-0.0025891887387450296,-0.01920789823737934,0.07245161875260386,-0.1045966412620194,0.053379915208314976,0.0043220711527163225,-0.017831215128861988,0.016998654947317338,-0.021917207265576,0.0358304560638425,-0.031166126820396656,0.011058135511240685,-0.0017769680216939143,-0.016897858127614462,0.025245892235975287
2015-10-13,0.0017010613350239012,111.79,-0.0023431686085633174,46.89,0.008668460786896759,652.3,-0.0014863576364234632,94.12,-0.005291841142948783,32.04,-0.0068135625849419235,21.94,-0.003941950992316645,27.85,-0.005800174446878081,37.82,0.0018957351648989373,26.4,0.0547205774302606,72.3,-0.010107813148314548,149.62,-0.00322253665520833,83.65,-0.00841080752875012,50.91,-0.03687133370730056,113.42,0.009835499915499035,76.63,-0.004856904604023882,57.51,0.00828505153410708,18.18,0.016726135883740945,146.5,-0.006087586114214005,85.16,-0.04181990936499691,69.31,0.00916596701407979,32.88,-0.02993066624618823,15.14,-0.02004726616536523,91.36,-0.02060669726335629,64.84,0.004541134296232485,68.42,-0.02261074567830601,87.02,-0.01976907081222512,17.53,-0.0023934079840639555,13.2706,-0.009411416355252555,56.05,-0.016047025597517584,6.8,-0.015055859339047295,0.0211664478187803,-0.006349334916794902,-0.00228376206453218,-0.0043933330346184185,0.0047298350471867145,-0.009554133066338455,-0.04512893265358464,0.1176532328439368,-0.07171366707168136,0.012073547366648008,0.02327225530500865,-0.07516735980135003,0.06139923814232251,-0.027834360657653878,0.004700871788497096,0.031254806347588815,0.012918601252827955,-0.0867181996298596,0.09008250963934472,-0.04898003334109102,0.01044283117881406,-0.025707262657579832,0.05229971153412727,-0.029993554840619385,-0.014533987962080275,0.024393671199349765,-0.00038239912892357175
2015-10-14,-0.014234474578783463,110.21,-0.004488625683139791,46.68,-0.0017491910617417616,651.16,-0.000531377875301331,94.07,0.023443393189939155,32.8,0.01806733879397049,22.34,-0.0010777798779959546,27.82,-0.014917698056869266,37.26,0.03571808260207909,27.36,0.006617063019294989,72.78,0.0026032120965400196,150.01,0.0017915800552037453,83.8,0.033606870665740196,52.65,0.03500010750849203,117.46,-0.013796947060969345,75.58,0.019287665250461217,58.63,0.0345980454079009,18.82,-0.010153764513675334,145.02,-0.00023487962527291018,85.14,-0.019522764571346052,67.97,0.004248868304002951,33.02,0.01962129658732703,15.44,-0.010452865158425695,90.41,-0.0013889962878277373,64.75,0.030939945463279273,70.57,0.050419550338953734,91.52,-0.0074434927126598716,17.4,0.006482043163737572,13.3569,0.08446576679019646,60.99,0.016047025597517584,6.91,0.0070064142742456426,0.0015216214349575985,-0.022756957878800055,0.02935082546120915,0.013769064275997778,-0.005305200493093132,-0.06447569883782167,0.07973680024173246,-0.025087168660029135,-0.0032022188814186947,-0.032626922651872725,0.030422053767784618,0.050190291412213206,-0.08188166688089193,0.017774232153990877,0.06006219007901592,-0.05467069480997866,0.029206769834475566,-0.043059517821422144,0.008399204592024923,0.045446590029076805,-0.03913803061635068,-0.023265072880509052,0.012849336875432549,0.07734264792728807,-0.07178857892801105,-0.06405818775006145,0.14640246481913777
2015-10-15,0.014860452689990922,111.86,0.007044537617683755,47.01,0.01611734180580182,661.74,0.01989225198763389,95.96,-0.0015255533088369688,32.75,-0.01761165411987431,21.95,0.011792168090402289,28.15,0.007753013036701173,37.55,0.002555212195162415,27.43,0.017974340118027676,74.1,0.0005331556274246196,150.09,0.03482793231736103,86.77,-0.004187291995543241,52.43,0.03685705274103679,121.87,0.02766355945225829,77.7,0.010688031169294732,59.26,-0.008537938738035766,18.66,0.0353623515165058,150.24,0.009701437786346467,85.97,0.007183201743492518,68.46,0.023347363996991,33.8,0.017972242404430627,15.72,0.022096720527411406,92.43,0.002313923130397022,64.9,0.00565212752415345,70.97,0.02769424338718718,94.09,0.0028694424279529507,17.45,-0.022341165483487302,13.0618,0.004743609123970316,61.28,0.02289084212890269,7.07,-0.016888719260425233,0.005297894006285997,0.02519271547830293,-0.005331704485433519,-0.04548992302131394,0.03344297726397771,0.0011586457878376422,-0.02061692876440402,0.03286031241346832,-0.05173596118053947,0.07331000100284069,-0.0800595690494843,0.05023783802535853,0.007782034994185061,0.002250441624366939,-0.06312626016187206,0.06956120398470089,-0.02314267768730538,-0.01868239829635243,0.021539283846058854,-0.009499599715541152,0.023907275519995164,-0.023121001790770812,-0.0187039114692773,0.04686691682226796,0.0003858069522060248,-0.05229538251889787,0.008937541602525245
2015-10-20,0.018093619992378684,113.77,0.003144986343154077,47.77,-0.02403677005311078,650.28,-0.015040954756328162,97.0,-0.004475615407700584,33.44,0.003592280468335929,22.31,0.008810629682154847,28.5,-0.00027126000437593945,36.86,-0.0014393669271655085,27.77,0.009319731948802534,75.46,-0.059218293106501285,140.64,-0.017804624633507515,86.84,-0.003997340432620344,52.43,0.0077873535676626915,119.89,-0.0051460296246013115,77.53,-0.0016934805063328895,59.0,-0.11433127541521504,17.09,-0.009548937411433478,153.21,0.0013736265896113764,87.42,-0.006667657692549511,68.76,0.0020719261518955534,33.82,0.024067422021963214,16.19,0.002335705489095119,94.3,0.0023032639740927507,65.2,0.00013832215251330382,72.3,-0.015425579584896099,91.99,0.007228277232105729,18.05,-0.014600140679534412,12.9664,0.0029845818871816476,60.4,-0.007158226700170411,6.96,0.012233122747040248,-0.03617757169304747,-0.0015695240518449616,0.0024974434725910655,0.0028495466622175947,0.014300238900349704,-0.007913782763741217,-0.011927205798757612,0.07929712393127186,-0.10995169352829759,0.0276063842721066,0.002022590200604135,0.02471807719254704,-0.016385932310532425,0.11609034402715057,-0.2174201329126637,0.0938597740027367,0.018963848283205742,-0.016780868126605952,-0.013255912025622596,0.043727212402935756,-0.021699275017865727,0.0021325003065770787,0.013398959915829955,-0.03821775855441123,0.04448227472864197,-0.0394131404783562,0.02772753115406812
2015-10-21,-8.7900496694715e-05,113.76,-0.012003934810361105,47.2,-0.011865031025080519,642.61,0.001133378102879945,97.11,-0.002095495453218188,33.37,-0.004042224232957192,22.22,-0.007749246246232744,28.28,-0.0065324129953125976,36.62,-0.01304839100401356,27.41,0.009364969848531857,76.17,0.0019889195361706413,140.92,-0.008209562209008148,86.13,-0.010160156412598376,51.9,0.005075097211147295,120.5,-0.022170965518023777,75.83,-0.0005086038933068693,58.97,-0.03938456507832244,16.43,-0.023643949132334363,149.63,0.0003431120294425938,87.45,-0.2156816410798168,55.42,-0.001183432090780201,33.78,-0.007439587940123005,16.07,-0.00457034329051087,93.87,-0.003533844040167544,64.97,0.006754453965447382,72.79,-0.007310053827470853,91.32,-0.02240990139958443,17.65,-0.011620190482570791,12.8166,0.02210487056731747,61.75,-0.00287769982761521,6.94,-0.012054938098946977,-0.012859505342679878,0.016227282684058597,-0.0012821447763591287,0.0017602932335365473,-0.004923855264195698,0.0077328112596211085,-0.02892933886124638,0.029789411164906632,0.0028224314328175737,-0.008247887541588561,-0.0171858478273359,0.04248131635291674,-0.04890842435388798,0.06053832280973248,-0.05461657713100365,-0.008246445215788878,0.24001181427103635,-0.430522962098296,0.2207543648383794,-0.009125400498954939,0.0018327453992688092,-0.0092517987552716,0.02435280579853316,0.0010353397791953434,-0.025889558489127218,-0.02293535013287462,0.05870763144482094
2015-10-22,0.015179563906917437,115.5,0.017431923085223566,48.03,0.01418441581533969,651.79,0.026020372373102063,99.67,0.030399271616070145,34.4,0.012966870707157074,22.51,0.02548575710494072,29.01,0.03144997811503325,37.79,0.03548123485246579,28.4,0.011097444002066581,77.02,0.02224575087180547,144.09,0.026692689639098433,88.46,0.11267474183259862,58.09,0.03938029186581993,125.34,0.02010511584851926,77.37,0.024456830361054394,60.43,0.017496675607378442,16.72,0.025534986831923234,153.5,0.025292078665300366,89.69,0.024419714454508856,56.79,0.028310660631146956,34.75,0.00867415599816379,16.21,0.03135579062618188,96.86,0.05188570007196702,68.43,0.023757310920946573,74.54,0.07008732272895468,97.95,0.028485589793841637,18.16,0.01895073406282055,13.0618,0.02636988593509315,63.4,0.008608374536600127,7.0,0.005499866448190005,-0.015083463827646248,0.007457057314794291,0.021811300151881152,-0.029951287306696717,0.0065546653876911165,0.0019329642726599872,0.028415047587831754,-0.0355320977201381,0.006701368102445926,-0.08153511342620723,0.1592765021602789,-0.05401927394947803,-0.023626890529835798,0.011311869266211083,-0.014998465978220743,0.00828121939116766,0.0006294560441686414,-0.004763310387429609,0.023527450809621264,-0.04231813926100125,0.002151725182232944,0.048658298596805594,-0.07445840095902856,0.08793174474312115,-0.03206687720409196,-0.016954007603293686,0.025180663270765624
2015-10-23,0.0305250061857274,119.08,0.09601025457062562,52.87,0.07421097986952851,702.0,0.024969096644753108,102.19,0.014430264829028872,34.9,-0.0017785687214031398,22.47,0.011651948140792623,29.35,0.007382053033008429,38.07,0.006667861167060085,28.59,0.0038875259533668327,77.32,0.004086302739054304,144.68,-0.006805833892547852,87.86,0.015204871382688445,58.98,0.033268406225282376,129.58,0.015263555484846592,78.56,0.004869804514768816,60.725,0.030626657578991523,17.24,0.026359610396527344,157.6,0.009322007357437379,90.53,0.024181399177714447,58.18,0.004307257197580405,34.9,0.014089053880449232,16.44,0.01108840929908883,97.94,0.005828371445866232,68.83,0.0050849835247746,74.92,-0.019171892101373267,96.09,0.02501489867577389,18.62,0.008993414680031009,13.1798,0.0034640248778181615,63.62,-0.02751802889389232,6.81,0.08728452308599532,0.027442608523678302,-0.03870305140905117,0.005670001734707775,-0.029639350412627774,0.017700411969979957,-0.0035557032418358503,0.0020661433477449087,-0.0029791119993807236,0.011090913417289627,-0.032902841906838454,0.003947170432642366,0.036068385583029716,-0.00761109977035801,-0.03615060403430048,0.030023900246686885,0.012770555856625787,-0.031896994859367034,0.03473353380041111,-0.029655938663002868,0.012782441264229227,0.002259393271862198,-0.004516649932130967,0.023513487705056235,-0.06844366640329502,0.060208274772890036,-0.010492094193530033,0.025452663969497635
