,AAPLCHG,AAPLCLS,MSFTCHG,MSFTCLS,GOOGCHG,GOOGCLS,FBCHG,FBCLS,INTCCHG,INTCCLS,TSMCHG,TSMCLS,CSCOCHG,CSCOCLS,ORCLCHG,ORCLCLS,NVDACHG,NVDACLS,SAPCHG,SAPCLS,IBMCHG,IBMCLS,ADBECHG,ADBECLS,TXNCHG,TXNCLS,AVGOCHG,AVGOCLS,CRMCHG,CRMCLS,QCOMCHG,QCOMCLS,MUCHG,MUCLS,BIDUCHG,BIDUCLS,ADPCHG,ADPCLS,VMWCHG,VMWCLS,ATVICHG,ATVICLS,AMATCHG,AMATCLS,INTUCHG,INTUCLS,CTSHCHG,CTSHCLS,EACHG,EACLS,NXPICHG,NXPICLS,INFYCHG,INFYCLS,ADICHG,ADICLS,NOKCHG,NOKCLS,MSFTslope_sum,GOOGslope_sum,FBslope_sum,INTCslope_sum,TSMslope_sum,CSCOslope_sum,ORCLslope_sum,NVDAslope_sum,SAPslope_sum,IBMslope_sum,ADBEslope_sum,TXNslope_sum,AVGOslope_sum,CRMslope_sum,QCOMslope_sum,MUslope_sum,BIDUslope_sum,ADPslope_sum,VMWslope_sum,ATVIslope_sum,AMATslope_sum,INTUslope_sum,CTSHslope_sum,EAslope_sum,NXPIslope_sum,INFYslope_sum,ADIslope_sum
868,-0.00853777795332622,177.1334,-0.0059487517496741305,93.0867,0.00989665631562886,1149.49,0.012620704574201724,184.19,0.0015426316053215317,51.2507,0.0035501078764519356,43.5971,0.00265304039387404,44.2721,-0.0049567992105847836,51.9007,0.004149465552029774,248.4503,0.004265606389580512,106.5189,-0.007560259101559552,154.7126,-0.006024664503065047,218.44,-0.005622102117428085,108.71,-0.0024147408350936317,255.0815,0.0098932967737273,127.99,0.007010430281728652,58.9615,0.005872007477222496,59.78,0.0038632460642160638,259.35,-0.011050352328626722,114.9696,0.00578826280438971,124.75,-0.022779149871523963,73.8393,0.00900619056052765,59.7161,-0.0021972354304162778,176.1643,-0.00191192476837454,83.1873,0.011000346645147374,127.97,-0.0026944870232208373,121.9738,-0.000546219671914816,8.9683,-0.006039735436727867,93.1989,-0.006848671715901533,5.6023,-0.013256381861650901,0.013121359806730126,0.013802121227453057,-0.013085549240010597,0.0029045437537082996,0.006712772121880928,-0.01671610436707338,0.00899012392506382,0.011942006328690802,-0.01336146008963457,0.0011330322128575432,-0.0028047988966974913,-0.009100676326486479,0.01519090410081958,-0.0017444436874924918,0.0008703386085002762,0.012904836979836354,-0.03175221352585922,0.045406027808930105,-0.060352753107965285,0.04298876642299554,-0.011488736652985665,-0.012626960751480176,0.026607105081890126,-0.015843101019674233,0.007641783116119072,-0.004684579485639384
869,0.001175822872857779,177.3418,0.0035099100004813977,93.414,7.829252701796463e-05,1149.58,-0.0017932350954028564,183.86,-0.01907813872484443,50.2822,0.0035375491820941463,43.7516,0.0011039235553553794,44.321,0.0009552147552049917,51.9503,0.0024092478807942186,249.0496,0.003786515045281824,106.923,0.009379156907752595,156.1705,0.0019665689720405055,218.87,-0.002367808867164811,108.4529,0.027143008391504075,262.1,-0.006034264617041707,127.22,-0.003833564314738247,58.7359,-0.015849261122554914,58.84,0.012872261404832663,262.71,0.0032676944004101927,115.3459,0.006073702040726658,125.51,-0.011382355192061766,73.0036,0.0008302520191225682,59.7657,0.0036031991205511815,176.8002,0.014247565830452835,84.381,0.008946343072134155,129.12,-0.0034402549937846416,121.5549,-0.0043581331271549395,8.9293,-0.001595711890646001,93.0503,-0.010352746566879567,5.5446,0.005765704601087052,-0.001560089851042612,0.015413376007020752,-0.03990059153638015,0.025049313533677342,-0.002284916826588379,-0.0016027419257396147,7.676596110162137e-05,-0.004215374697983165,0.01300522979818286,-0.0030782100965067727,-0.0338451950978742,0.06268809026721467,-0.03537797331084924,0.014216397110120127,-0.040737219335204244,0.03832608953181005,-0.012410574644738936,0.02026206487310489,-0.02966866444397276,0.009439660109755721,-0.00787141960847304,0.015945589468220334,0.007085375307600117,-0.011468719932548499,-0.0036802993698792363,0.011519455912742504
870,-0.0035327561990365908,176.7164,0.004449801889244043,93.8306,-0.012121042282548622,1135.73,0.006667594833016821,185.09,0.005683647589477925,50.5688,-0.00753202015885579,43.4233,-0.007082625170299117,44.0082,-0.0019113428181127823,51.8511,0.004561760934668868,250.1883,-0.00898122435149773,105.967,0.004064202004874673,156.8065,0.03006391759841165,225.55,0.002367808867164811,108.71,-0.04933773870809066,249.4824,-0.009874087886446503,125.97,0.012116458036373956,59.4519,0.029142909865853994,60.58,-0.001218815614601354,262.39,0.005821116585678965,116.0193,-0.008320713659468737,124.47,-0.023438529658328378,71.3124,-0.014032409234913779,58.9329,0.003702409437763343,177.456,-0.002715193689608597,84.1522,-0.004657670273981118,128.52,0.003031887220954488,121.924,0.0,8.9293,0.0022339277397396273,93.2584,-0.005225909925025141,5.5157,0.024553402260073298,-0.03535948128735811,0.01977258435910434,0.012231720504794819,-0.013665062736890388,-0.004721887363629662,-0.0013018214005953155,0.020016089038948248,-0.026588411642539,-0.012954289237164573,0.053695824324783814,0.024009438844008635,-0.09116919839689963,0.0174731048988237,0.004964094093340421,0.047388177309935386,-0.03740165768073567,0.02118176244542802,0.0009759857537119387,-0.02452393642227424,-0.008328698249262523,0.024152421800049062,-0.004475126542999419,-0.009632034079308127,0.010721444715890094,-0.005265814960694115,0.009693765404504395
871,-0.015396640049105237,174.0164,-0.018241562872078454,92.1345,-0.032129085942393054,1099.82,-0.07009719118772395,172.56,-0.006666585538587455,50.2328,-0.008262340720204264,43.066,-0.016579066642627094,43.2846,-0.006140186898161204,51.5337,-0.03858230997475509,240.7193,-0.011976077349129532,104.7055,-0.018324928891543024,153.9592,-0.015053999700828768,222.18,-0.019374221236875044,106.6241,-0.039699482752484805,239.7721,-0.007890058863275762,124.98,-0.03782378613144832,57.2452,-0.007289628038708251,60.14,-0.03711462046969505,252.83,-0.023140326478944928,113.3654,0.008957910017149295,125.59,-0.008828350695770482,70.6856,-0.015940980899816992,58.0009,-0.016087027199757742,174.6241,-0.009381713596085639,83.3664,-0.02425697764556034,125.44,0.003102854796050991,122.3029,-0.01763638425281,8.7732,-0.006928418029283456,92.6145,-0.00174200265431379,5.5061,0.011042600247341383,0.024080582175016296,-0.10139871089446739,0.0650263608307533,0.00672097074080602,-0.01875560566688872,0.04288100282105978,-0.059048355702219446,0.03295508416803905,-0.009619780733127747,0.007591150726760532,0.016005039979563485,-0.052134685404818804,0.061743151157381604,-0.06046788536091263,0.06035915052372687,-0.043799286421736916,-0.018123942505344104,0.049884497209014,-0.010673630508873266,-0.006966583904105761,-0.0068513599036128525,0.021580577653146804,-0.04223509649108603,0.04809907149047232,-0.031447205272387535,0.005521550848556878
872,-0.00034255511966296837,173.9568,0.002579849349923613,92.3725,-0.001920338423976986,1097.71,-0.025888563894622685,168.15,0.014066642162014809,50.9444,0.005143947762386691,43.2881,0.002256915354480693,43.3824,-0.09907226614583697,46.6729,0.034982545057197,249.2893,-0.012693698203604775,103.3848,-0.007335921483024421,152.8339,0.03350389708221968,229.75,0.014725404432910594,108.2058,-0.010629668920068447,237.2369,0.001119552296064974,125.12,-0.001886652801004196,57.1373,0.016654684572798395,61.15,0.006426326596608689,254.46,0.009389872253136922,114.4349,0.004528309624747706,126.16,0.004492930463368516,71.0039,0.01240189430768801,58.7247,0.013620277960086469,177.0188,0.0059475114337761426,83.8637,0.01117772944319384,126.85,0.0038257785327600047,122.7717,0.012707860184242303,8.8854,-0.008484896103402306,91.832,0.005216930589483804,5.5349,0.0074225922434871805,0.0194680376967451,-0.06392343152728319,0.04887790045626561,-0.006035661991722119,0.09844214909241167,-0.23538399270335164,0.18173105446383575,-0.05303401998138213,-0.03548204184466375,0.05961831121455319,0.006576580703669954,-0.03710429456911246,0.014755426313202591,-0.02154754247087176,0.028769695349992297,-0.013191903632717938,0.007825108284917448,-0.004826183467010026,-0.007944343005698684,0.006690580191921036,0.008891150178708784,-0.012902984535728024,0.012582168919851533,-0.016234032561916134,0.03007483793912691,-0.03489458298053072
873,-0.022915030438482198,170.0159,-0.007003819498354602,91.7278,-0.006241481659420067,1090.88,0.007347310412011865,169.39,0.00019431062479036143,50.9543,-0.002903390907428083,43.1626,-0.0013539995217861645,43.3237,-0.0006365461266137906,46.6432,-0.0040951918696938705,248.2705,0.0019046548027787935,103.5819,0.003132481600123249,153.3134,-0.012702755125823195,226.85,-0.00751948107336009,107.3952,0.022154426731622934,242.5514,-0.027714276803519233,121.7,-0.02520234829270862,55.7153,-0.0013091148981381195,61.07,-0.01748275484964168,250.05,0.006898861300638437,115.2271,-0.014450772405369072,124.35,0.0033575526492137797,71.2427,0.0258313441156659,60.2614,-0.008398688908052065,175.5383,-0.01145165342573673,82.9088,-0.006723379093813264,126.0,-0.009304242461687373,121.6347,-0.009385068715809908,8.8024,0.0009697796334648956,91.9211,-0.006980166674575239,5.4964,0.015148873101193061,-0.012826454232497397,0.020741791858653436,-0.004055298255003059,-0.004647092917860363,0.0008319379904695445,0.004176099138252454,-0.009458492415552744,0.004772019875128208,0.0170630635232909,-0.02101851077840955,-0.02449063375251992,0.07954261134012519,-0.05238063204595278,-0.02138130488375989,0.04006687334607406,-0.04055525610178368,0.045731249856287626,-0.03915795876059036,-0.004665466411869268,0.056703824490170085,-0.0311770685060333,-0.00778123884960813,0.007309137699797574,-0.0025000371137515742,-0.010435674603397338,0.018304794657314938
