,algo_proffits,bid_stream,stock_close
0,54.86,,52.43
1,54.86,5.0,51.52
2,54.1,5.0,50.88
3,54.22,5.0,51.57
4,54.61,5.0,50.82
5,55.39,5.0,49.58
6,54.79,5.0,49.45
7,54.88,5.0,51.165
8,53.168,5.0,52.19
9,54.84,5.0,52.63
10,56.18,5.0,51.93
11,56.24,5.0,51.91
12,57.55,5.0,52.065
13,57.17,5.0,52.63
14,57.35,5.0,53.08
15,56.6,5.0,53.17
16,55.77,5.0,53.06
17,55.94,5.0,54.21
18,56.23,5.0,53.81
19,56.41,5.0,53.93
20,56.95,5.0,54.86
21,56.7,5.0,54.1
22,56.91,5.0,54.22
23,56.78,5.0,54.61
24,56.76,5.0,55.39
25,56.4,5.0,54.79
26,56.05,5.0,54.88
27,55.04,5.0,53.168
28,55.6,5.0,54.84
29,55.44,5.0,56.18
30,55.32,5.0,56.24
31,54.64,5.0,57.55
32,53.99,5.0,57.17
33,60.89,5.0,57.35
34,58.5,5.0,56.6
35,57.67,5.0,55.77
36,59.04,5.0,55.94
37,58.13,5.0,56.23
38,59.26,5.0,56.41
39,59.47,5.0,56.95
40,59.53,5.0,56.7
41,59.58,5.0,56.91
42,59.51,5.0,56.78
43,59.55,5.0,56.76
44,59.879,5.0,56.4
45,59.29,5.0,56.05
46,59.16,5.0,55.04
47,58.12,5.0,55.6
48,58.97,5.0,55.44
49,58.9,5.0,55.32
50,59.09,5.0,54.64
51,59.53,5.0,53.99
52,58.6,5.0,60.89
53,60.37,-5.0,58.5
54,60.370000000999994,5.0,57.67
55,60.370000000999994,5.0,59.04
56,60.11000000099999,5.0,58.13
57,59.59000000099999,5.0,59.26
58,60.510000000999995,5.0,59.47
59,59.620000000999994,5.0,59.53
60,57.830000000999995,5.0,59.58
61,57.10000000099999,5.0,59.51
62,57.85000000099999,5.0,59.55
63,57.20000000099999,5.0,59.879
64,58.13000000099999,5.0,59.29
65,57.93000000099999,5.0,59.16
66,56.830000000999995,5.0,58.12
67,58.46000000099999,5.0,58.97
68,59.74000000099999,5.0,58.9
69,60.080000000999995,5.0,59.09
70,61.620000000999994,5.0,59.53
71,62.52000000099999,5.0,58.6
72,62.71000000099999,5.0,60.37
73,63.88000000099999,5.0,61.68
74,65.78000000099999,5.0,61.63
75,67.08000000099999,5.0,61.37
76,67.40000000099998,5.0,60.85
77,66.73000000099998,5.0,61.77
78,67.22000000099999,5.0,60.88
79,66.96000000099998,5.0,59.09
80,67.50500000099998,5.0,58.36
81,66.75000000099999,5.0,59.11
82,66.56000000099998,5.0,58.46
83,68.66000000099999,5.0,59.39
84,67.37000000099998,5.0,59.19
85,66.60000000099998,5.0,58.09
86,67.34000000099998,5.0,59.72
87,67.64000000099999,5.0,61.0
88,67.66000000099999,5.0,61.34
89,67.26000000099998,5.0,62.88
90,66.78000000099999,5.0,63.78
91,66.21000000099998,5.0,63.97
92,66.80000000099999,5.0,65.14
